TurbineID,WindSpeed,RotorSpeed,BladeAngle,GearboxTemp,GeneratorTemp,Vibration,PowerOutput,Humidity,AmbientTemperature,TimeSinceLastMaintenance,Failure,FaultType
T56,23.9,12.3,34.0,98.0,77.0,0.98,936.0,65.0,27.0,143,0.0,None
T46,12.6,17.6,27.0,84.0,86.0,0.7,1517.0,74.0,33.0,221,0.0,None
T47,22.4,18.0,30.0,94.0,86.0,0.76,1460.0,73.0,16.0,151,0.0,None
T79,12.9,18.0,27.0,71.0,88.0,0.74,1134.0,68.0,32.0,169,0.0,None
T16,8.6,13.8,27.0,79.0,93.0,1.33,1485.0,79.0,21.0,180,1.0,Generator
T69,5.1,11.7,33.0,89.0,88.0,0.75,1414.0,75.0,27.0,158,0.0,None
T2,11.6,18.4,17.0,93.0,93.0,1.05,1187.0,60.0,28.0,252,0.0,None
T92,12.6,13.3,20.0,87.0,77.0,1.13,1717.0,70.0,26.0,131,0.0,None
T54,23.9,17.5,22.0,84.0,89.0,1.24,1170.0,62.0,17.0,148,0.0,None
T27,9.1,18.2,27.0,77.0,94.0,0.53,1396.0,66.0,25.0,289,0.0,None
T31,12.6,17.7,26.0,75.0,84.0,0.98,1487.0,65.0,16.0,218,0.0,None
T41,5.5,13.9,37.0,96.0,94.0,0.79,1792.0,75.0,15.0,61,0.0,None
T36,20.3,19.4,23.0,74.0,86.0,1.33,1363.0,65.0,19.0,185,0.0,None
T47,23.3,16.6,17.0,83.0,94.0,0.54,1128.0,80.0,21.0,184,0.0,None
T43,9.8,15.8,17.0,97.0,90.0,0.71,916.0,63.0,29.0,158,0.0,None
T65,13.6,17.0,15.0,74.0,84.0,0.82,1177.0,68.0,23.0,293,0.0,None
T50,7.4,10.4,16.0,74.0,76.0,0.58,1726.0,70.0,25.0,242,0.0,None
T93,14.1,13.9,41.0,91.0,88.0,0.9,1803.0,69.0,27.0,52,0.0,None
T1,7.7,18.8,36.0,80.0,80.0,1.24,1561.0,62.0,16.0,160,0.0,None
T72,15.5,11.6,45.0,83.0,81.0,0.71,1943.0,65.0,22.0,73,0.0,None
T57,19.7,14.1,16.0,89.0,75.0,1.25,1474.0,70.0,24.0,211,0.0,None
T16,16.1,14.1,40.0,81.0,86.0,1.03,1427.0,76.0,20.0,35,0.0,None
T28,9.9,13.6,36.0,94.0,81.0,0.84,1816.0,74.0,23.0,214,0.0,None
T86,12.1,15.6,34.0,99.0,95.0,0.87,1084.0,71.0,25.0,90,0.0,None
T82,17.8,20.0,26.0,98.0,90.0,0.62,917.0,80.0,27.0,213,0.0,None
T22,16.8,12.6,26.0,86.0,82.0,0.75,1870.0,75.0,21.0,198,0.0,None
T41,7.7,17.0,40.0,81.0,81.0,1.23,1488.0,77.0,29.0,299,0.0,None
T76,21.9,17.6,36.0,83.0,89.0,1.36,1719.0,60.0,32.0,70,0.0,None
T19,14.5,15.8,35.0,80.0,80.0,0.77,1592.0,64.0,18.0,85,0.0,None
T89,8.2,11.0,16.0,83.0,84.0,1.09,1630.0,74.0,21.0,100,0.0,None
T50,7.5,15.7,21.0,70.0,78.0,0.53,1546.0,66.0,22.0,107,0.0,None
T59,24.3,19.5,44.0,72.0,80.0,0.58,1698.0,67.0,17.0,142,1.0,Blades
T69,10.6,13.4,29.0,93.0,77.0,1.46,1025.0,72.0,27.0,196,1.0,Gearbox
T34,23.2,16.4,38.0,80.0,84.0,1.4,1176.0,71.0,19.0,125,0.0,None
T39,13.2,19.6,27.0,94.0,94.0,0.58,1427.0,64.0,33.0,140,0.0,None
T74,12.7,18.0,38.0,84.0,77.0,1.32,1688.0,78.0,18.0,251,0.0,None
T7,19.0,16.9,19.0,94.0,84.0,0.6,1239.0,73.0,30.0,201,0.0,None
T52,5.2,19.7,16.0,90.0,81.0,1.33,1788.0,74.0,28.0,59,0.0,None
T60,11.8,11.7,29.0,76.0,82.0,1.41,972.0,77.0,24.0,259,0.0,None
T52,11.1,17.7,33.0,83.0,90.0,0.65,1770.0,62.0,25.0,284,0.0,None
T79,22.4,14.1,25.0,91.0,84.0,0.65,1669.0,69.0,18.0,227,0.0,None
T24,15.6,13.6,36.0,80.0,88.0,1.43,972.0,62.0,16.0,160,0.0,None
T26,12.3,15.2,30.0,76.0,94.0,0.8,935.0,61.0,34.0,36,0.0,None
T90,10.3,10.3,43.0,86.0,87.0,0.97,1824.0,74.0,16.0,63,0.0,None
T90,16.8,13.1,18.0,78.0,82.0,0.8,1059.0,76.0,27.0,94,0.0,None
T10,8.0,11.7,17.0,88.0,83.0,1.25,1179.0,61.0,31.0,184,0.0,None
T17,9.9,11.4,42.0,78.0,89.0,0.71,1886.0,77.0,15.0,108,0.0,None
T78,10.9,13.4,35.0,97.0,89.0,0.99,1277.0,66.0,23.0,72,0.0,None
T2,17.2,18.0,35.0,80.0,82.0,1.35,1483.0,73.0,21.0,181,0.0,None
T77,12.5,12.0,16.0,97.0,89.0,1.44,934.0,74.0,19.0,91,1.0,Gearbox
T27,15.1,15.3,43.0,78.0,86.0,0.85,1526.0,74.0,18.0,250,0.0,None
T73,18.0,17.5,38.0,88.0,95.0,0.61,1685.0,72.0,23.0,113,0.0,None
T71,24.1,12.4,38.0,74.0,93.0,1.31,1522.0,62.0,18.0,148,1.0,Generator
T48,20.3,19.2,42.0,93.0,91.0,0.61,1790.0,62.0,19.0,59,1.0,Blades
T74,13.1,18.7,32.0,76.0,76.0,1.28,1754.0,63.0,26.0,239,0.0,None
T9,20.0,12.5,27.0,96.0,83.0,1.19,1427.0,78.0,20.0,130,0.0,None
T86,24.0,19.9,29.0,84.0,86.0,1.08,1610.0,64.0,17.0,44,0.0,None
